Cell#,ROI Name,ROI#,RMS,Reflectance,D
1,nuc,0,0.19060062,1.1412677,2.655230956
1,nuc,1,0.18034539,1.2310915,2.616049536
1,nuc,10,0.16803177,1.1315058,2.564425179
1,nuc,11,0.13837245,0.99136025,2.414099027
1,nuc,12,0.17947118,1.2081021,2.612555293
1,nuc,13,0.1765377,1.1320606,2.600645437
1,nuc,14,0.2041927,1.3405048,2.70245193
1,nuc,15,0.15585653,1.2009155,2.507669971
1,nuc,16,0.12291878,1.1286756,2.317349822
1,nuc,17,0.1546121,1.1530259,2.501502733
1,nuc,18,0.14692783,1.1041433,2.461807488
1,nuc,19,0.14615512,1.1510773,2.457656498
1,nuc,2,0.17321913,1.2450271,2.586820122
1,nuc,20,0.12285043,1.0107346,2.316889755
1,nuc,21,0.12100274,0.9119115,2.304343908
1,nuc,3,0.18211824,1.2206017,2.623059554
1,nuc,4,0.15215725,1.2639171,2.489127313
1,nuc,5,0.19356076,1.1878177,2.665941732
1,nuc,6,0.1580128,1.1613181,2.518190302
1,nuc,7,0.15850252,1.1191529,2.520550437
1,nuc,8,0.16333698,1.205629,2.543278322
1,nuc,9,0.14990382,1.2375203,2.477517388
2,nuc,0,0.18393454,1.1474531,2.630137166
2,nuc,1,0.18027465,1.2197869,2.615767714
2,nuc,10,0.16286583,1.1264167,2.541107294
2,nuc,11,0.13274327,0.9819106,2.380484135
2,nuc,12,0.16812482,1.2243307,2.564835645
2,nuc,13,0.18594901,1.1165719,2.637865784
2,nuc,14,0.20004454,1.3311081,2.688555556
2,nuc,15,0.15353212,1.2028391,2.496092851
2,nuc,16,0.12960589,1.1313101,2.360955485
2,nuc,17,0.15674098,1.1454958,2.512010425
2,nuc,18,0.14480378,1.0995504,2.450324208
2,nuc,19,0.13942558,1.153118,2.42018723
2,nuc,2,0.17842926,1.2332422,2.608357922
2,nuc,20,0.118502855,1.0075003,2.287035112
2,nuc,21,0.116916016,0.91382366,2.275848156
2,nuc,3,0.18045068,1.2205396,2.616468702
2,nuc,4,0.1505556,1.2479343,2.480900384
2,nuc,5,0.18330052,1.1852521,2.627678438
2,nuc,6,0.15609881,1.1536224,2.508862481
2,nuc,7,0.16292545,1.1119298,2.541382527
2,nuc,8,0.16065879,1.1992526,2.530813034
2,nuc,9,0.15006985,1.2478095,2.478381092
3,nuc,0,0.1816242,1.1371685,2.621116248
3,nuc,1,0.17575066,1.2020738,2.59740087
3,nuc,10,0.16027114,1.1246911,2.528983291
3,nuc,11,0.12305058,0.9800454,2.318236162
3,nuc,12,0.1657801,1.2064407,2.554391306
3,nuc,13,0.18476762,1.1153227,2.633348653
3,nuc,14,0.19453286,1.3240048,2.669404627
3,nuc,15,0.1536067,1.1899858,2.496468175
3,nuc,16,0.1278317,1.1217098,2.349653687
3,nuc,17,0.15662047,1.1275748,2.511421097
3,nuc,18,0.14761621,1.095746,2.465480234
3,nuc,19,0.13795756,1.1531526,2.411682953
3,nuc,2,0.17378747,1.2322963,2.589214953
3,nuc,20,0.11457165,1.0091972,2.259035164
3,nuc,21,0.12378863,0.89348215,2.323179615
3,nuc,3,0.18395315,1.2107373,2.630209144
3,nuc,4,0.15157624,1.2466977,2.486157022
3,nuc,5,0.18649167,1.1835222,2.639926222
3,nuc,6,0.1426061,1.152631,2.438197426
3,nuc,7,0.15946354,1.1083231,2.525150044
3,nuc,8,0.15426415,1.2032548,2.499765646
3,nuc,9,0.14457823,1.2381468,2.449091253
4,nuc,0,0.16904569,1.1274619,2.568880244
4,nuc,1,0.1698336,1.2024144,2.572315733
4,nuc,10,0.15748136,1.1253632,2.515616783
4,nuc,11,0.126487,0.9735754,2.340960914
4,nuc,12,0.1606267,1.2016771,2.530661816
4,nuc,13,0.18700233,1.119455,2.641856899
4,nuc,14,0.19278817,1.3157157,2.663170598
4,nuc,15,0.15186808,1.18094,2.487650988
4,nuc,16,0.12576002,1.1257881,2.336215145
4,nuc,17,0.14953132,1.1266837,2.475574755
4,nuc,18,0.14456956,1.0935533,2.449043806
4,nuc,19,0.13449869,1.1435243,2.391160749
4,nuc,2,0.16509527,1.2198166,2.551300367
4,nuc,20,0.11532511,1.004736,2.264476014
4,nuc,21,0.12368588,0.898807,2.322493448
4,nuc,3,0.17839986,1.2071433,2.608238964
4,nuc,4,0.15318233,1.2473783,2.49432908
4,nuc,5,0.17662771,1.175913,2.601015162
4,nuc,6,0.13763912,1.1346407,2.409821842
4,nuc,7,0.15533112,1.0963615,2.505074727
4,nuc,8,0.14472611,1.1976951,2.449899927
4,nuc,9,0.1371331,1.2372472,2.406852699
5,nuc,0,0.1701966,1.1389427,2.573890787
5,nuc,1,0.1710594,1.2036622,2.577615118
5,nuc,10,0.15177979,1.1163723,2.487199446
5,nuc,11,0.124814436,0.97032094,2.329993146
5,nuc,12,0.15877499,1.1947012,2.521858789
5,nuc,13,0.18287474,1.1132542,2.626020136
5,nuc,14,0.19101173,1.3121222,2.656733769
5,nuc,15,0.14749596,1.1741782,2.464840362
5,nuc,16,0.12792611,1.1199512,2.350259863
5,nuc,17,0.15000232,1.1242772,2.478029955
5,nuc,18,0.14720595,1.0992585,2.463294203
5,nuc,19,0.13914958,1.1344224,2.418597795
5,nuc,2,0.16389993,1.2246914,2.54586038
5,nuc,20,0.107796066,0.99862796,2.208538496
5,nuc,21,0.115356736,0.9012361,2.264703616
5,nuc,3,0.173928,1.2054693,2.589805363
5,nuc,4,0.15004922,1.2438871,2.478273845
5,nuc,5,0.17906688,1.1713543,2.610930824
5,nuc,6,0.13859564,1.139149,2.415394621
5,nuc,7,0.1596908,1.0956951,2.526231659
5,nuc,8,0.14339465,1.2004278,2.442577865
5,nuc,9,0.14520083,1.2219429,2.452488279
6,nuc,0,0.16635388,1.130765,2.556966814
6,nuc,1,0.16979824,1.202566,2.572162047
6,nuc,10,0.1465779,1.1127356,2.459931395
6,nuc,11,0.12406734,0.9759093,2.325037451
6,nuc,12,0.16242963,1.1803545,2.539089088
6,nuc,13,0.17593384,1.0921919,2.598157911
6,nuc,14,0.18789664,1.3213172,2.645218652
6,nuc,15,0.15132838,1.171858,2.484885024
6,nuc,16,0.1230286,1.1218575,2.318088423
6,nuc,17,0.15243655,1.1199995,2.490549507
6,nuc,18,0.1494108,1.095187,2.474944788
6,nuc,19,0.13615692,1.1279494,2.40108401
6,nuc,2,0.16511965,1.2380338,2.551410724
6,nuc,20,0.108238466,0.9978381,2.211919349
6,nuc,21,0.11307691,0.89808184,2.248136154
6,nuc,3,0.17274256,1.1968633,2.584803218
6,nuc,4,0.14938603,1.2467815,2.474815226
6,nuc,5,0.1827439,1.1688148,2.625509393
6,nuc,6,0.14206858,1.1316572,2.435192446
6,nuc,7,0.15160424,1.0918353,2.486300533
6,nuc,8,0.1383779,1.2129703,2.414130698
6,nuc,9,0.14200984,1.2214489,2.434863121
7,nuc,0,0.1707309,1.1599565,2.576200325
7,nuc,1,0.17173257,1.200542,2.580502147
7,nuc,10,0.14444847,1.1157995,2.448380734
7,nuc,11,0.12609802,0.9858054,2.338425694
7,nuc,12,0.15775892,1.1584868,2.516962448
7,nuc,13,0.17140067,1.1107268,2.579080768
7,nuc,14,0.18441395,1.3155432,2.631987924
7,nuc,15,0.16102795,1.1816931,2.532549412
7,nuc,16,0.12073896,1.121091,2.302535698
7,nuc,17,0.1503792,1.1185868,2.479986816
7,nuc,18,0.15020761,1.0905554,2.479096723
7,nuc,19,0.1329131,1.1233158,2.381524829
7,nuc,2,0.16658907,1.2404068,2.558018791
7,nuc,20,0.113782614,0.9976696,2.253299348
7,nuc,21,0.11552601,0.9067109,2.265920766
7,nuc,3,0.16977331,1.2066664,2.572053665
7,nuc,4,0.1501689,1.2393043,2.478895726
7,nuc,5,0.18428223,1.1656274,2.631480138
7,nuc,6,0.13892111,1.1337396,2.417278792
7,nuc,7,0.15091273,1.0791376,2.482745378
7,nuc,8,0.13768983,1.2022829,2.410118596
7,nuc,9,0.14076887,1.197432,2.427861778
8,nuc,0,0.1753929,1.1643949,2.59591902
8,nuc,1,0.17196703,1.2013946,2.581503848
8,nuc,10,0.14297348,1.1093636,2.440242352
8,nuc,11,0.12544881,0.97970265,2.334173531
8,nuc,12,0.14820227,1.1528997,2.468588502
8,nuc,13,0.17299582,1.1142707,2.585876045
8,nuc,14,0.17755796,1.3164206,2.604820253
8,nuc,15,0.15345076,1.194084,2.495683111
8,nuc,16,0.11610949,1.1117009,2.270102569
8,nuc,17,0.13945673,1.1059953,2.420366346
8,nuc,18,0.14698635,1.0858282,2.462120634
8,nuc,19,0.13541046,1.1306711,2.396636401
8,nuc,2,0.16816376,1.2392895,2.565007322
8,nuc,20,0.1087644,0.99426717,2.215923601
8,nuc,21,0.11414923,0.89757997,2.255969281
8,nuc,3,0.168979,1.2032152,2.5685884
8,nuc,4,0.15221941,1.2332762,2.489444149
8,nuc,5,0.1721951,1.1799729,2.582476361
8,nuc,6,0.13652372,1.1333967,2.403257917
8,nuc,7,0.14204511,1.0857513,2.435060884
8,nuc,8,0.13690107,1.2048978,2.405486407
8,nuc,9,0.14221735,1.205847,2.436025691
9,nuc,0,0.1736421,1.1250082,2.588603482
9,nuc,1,0.17448902,1.2053658,2.592155522
9,nuc,10,0.13960445,1.110272,2.421215003
9,nuc,11,0.11869037,0.9765364,2.288346792
9,nuc,12,0.14304851,1.140759,2.440659104
9,nuc,13,0.16820769,1.1001786,2.56520093
9,nuc,14,0.18277797,1.3102741,2.62564244
9,nuc,15,0.16102351,1.1825693,2.532528563
9,nuc,16,0.12026261,1.1079984,2.299259471
9,nuc,17,0.14652056,1.1036257,2.459623389
9,nuc,18,0.14938048,1.0837215,2.474786192
9,nuc,19,0.13305561,1.1348454,2.382396821
9,nuc,2,0.15658492,1.2387006,2.511247123
9,nuc,20,0.11523355,0.99643135,2.263816735
9,nuc,21,0.112023674,0.89452535,2.24037226
9,nuc,3,0.17148559,1.2038218,2.57944482
9,nuc,4,0.14667386,1.2295678,2.460446482
9,nuc,5,0.17841567,1.1690768,2.608302938
9,nuc,6,0.14049406,1.1145345,2.426299912
9,nuc,7,0.14762181,1.0773941,2.465510015
9,nuc,8,0.13701877,1.2125355,2.406179855
9,nuc,9,0.14272188,1.1945213,2.438842662
10,nuc,0,0.16537441,1.1584938,2.55256249
10,nuc,1,0.16583681,1.2124264,2.554646433
10,nuc,10,0.14357959,1.1124135,2.443600452
