Cell#,ROI Name,ROI#,RMS,Reflectance,RMS_t^2,Diffusion
1,nuc,0,None,None,0.009435676,0.003598952
1,nuc,1,None,None,0.009840955,0.003530598
1,nuc,10,None,None,0.0088447,0.00390295
1,nuc,11,None,None,0.008428007,0.004501363
1,nuc,12,None,None,0.007597205,0.004607401
1,nuc,13,None,None,0.011022422,0.004000204
1,nuc,14,None,None,0.008480634,0.004533368
1,nuc,15,None,None,0.009385007,0.004061086
1,nuc,16,None,None,0.006304216,0.004613424
1,nuc,17,None,None,0.007537515,0.004853559
1,nuc,18,None,None,0.006682027,0.004442388
1,nuc,19,None,None,0.008869058,0.003312293
1,nuc,2,None,None,0.010385087,0.003724112
1,nuc,20,None,None,0.006981458,0.003758333
1,nuc,21,None,None,0.004918715,0.004274187
1,nuc,3,None,None,0.011514371,0.003308768
1,nuc,4,None,None,0.009602742,0.003686439
1,nuc,5,None,None,0.009135336,0.003926311
1,nuc,6,None,None,0.01410633,0.002645866
1,nuc,7,None,None,0.006682824,0.004648058
1,nuc,8,None,None,0.01460269,0.002959742
1,nuc,9,None,None,0.008068389,0.004298153
2,nuc,0,None,None,0.009762662,0.003392028
2,nuc,1,None,None,0.009332444,0.003647673
2,nuc,10,None,None,0.009348867,0.003724965
2,nuc,11,None,None,0.006356673,0.004798055
2,nuc,12,None,None,0.007462244,0.004740362
2,nuc,13,None,None,0.007979776,0.004795836
2,nuc,14,None,None,0.008745848,0.004403896
2,nuc,15,None,None,0.009776692,0.004078803
2,nuc,16,None,None,0.006839795,0.004582302
2,nuc,17,None,None,0.007255036,0.004755343
2,nuc,18,None,None,0.007336474,0.004108397
2,nuc,19,None,None,0.006828488,0.003776258
2,nuc,2,None,None,0.009198516,0.00404033
2,nuc,20,None,None,0.006929703,0.003740709
2,nuc,21,None,None,0.00600895,0.003713443
2,nuc,3,None,None,0.010257366,0.003708859
2,nuc,4,None,None,0.007978761,0.004047274
2,nuc,5,None,None,0.010433565,0.003581058
2,nuc,6,None,None,0.013982752,0.002641177
2,nuc,7,None,None,0.008411692,0.003962927
2,nuc,8,None,None,0.008851744,0.004192365
